wl,ir
176.975,0
177.36,0
177.746,0
178.131,0
178.517,0
178.903,0
179.288,0
179.673,0
180.059,0
180.444,0
180.83,0
181.215,0
181.6,0
181.986,0
182.371,0
182.756,0
183.141,0
183.526,0
183.911,0
184.296,0
184.681,0
185.066,0
185.451,0
185.836,0
186.221,0
186.606,0
186.991,0
187.376,0
187.761,0
188.145,0
188.53,0
188.915,0
189.3,0
189.684,0
190.069,0
190.453,0
190.838,0
191.222,0
191.607,0
191.991,0
192.376,0
192.76,0
193.145,0
193.529,0
193.913,0
194.297,0
194.682,0
195.066,0
195.45,0
195.834,0
196.218,0
196.602,0
196.986,0
197.37,0
197.754,0
198.138,0
198.522,0
198.906,0
199.29,0
199.674,0
200.058,0
200.441,0
200.825,0
201.209,0
201.592,0
201.976,0
202.36,0
202.743,0
203.127,0
203.51,0
203.894,0
204.277,0
204.66,0
205.044,0
205.427,0
205.811,0
206.194,0
206.577,0
206.96,0
207.343,0
207.727,0
208.11,0
208.493,0
208.876,0
209.259,0
209.642,0
210.025,0
210.408,0
210.791,0
211.173,0
211.556,0
211.939,0
212.322,0
212.705,0
213.087,0
213.47,0
213.853,0
214.235,0
214.618,0
215,0
215.383,0
215.765,0
216.148,0
216.53,0
216.913,0
217.295,0
217.677,0
218.059,0
218.442,0
218.824,0
219.206,0
219.588,0
219.97,0
220.352,-0.14
220.735,-0.15
221.117,-0.12
221.499,-0.12
221.88,-0.14
222.262,-0.09
222.644,-0.09
223.026,-0.11
223.408,-0.11
223.79,-0.1
224.172,-0.1
224.553,-0.1
224.935,-0.1
225.317,-0.1
225.698,-0.09
226.08,-0.06
226.461,-0.06
226.843,-0.07
227.224,-0.09
227.606,-0.08
227.987,-0.08
228.369,-0.04
228.75,-0.06
229.131,-0.07
229.513,-0.05
229.894,-0.05
230.275,-0.06
230.656,-0.07
231.038,-0.08
231.419,-0.09
231.8,-0.08
232.181,-0.07
232.562,-0.09
232.943,-0.09
233.324,-0.08
233.705,-0.06
234.086,-0.06
234.467,-0.05
234.847,-0.07
235.228,-0.07
235.609,-0.07
235.99,-0.08
236.371,-0.08
236.751,-0.08
237.132,-0.05
237.512,-0.05
237.893,-0.05
238.274,-0.04
238.654,-0.04
239.035,-0.03
239.415,-0.03
239.795,-0.04
240.176,-0.04
240.556,-0.05
240.936,-0.05
241.317,-0.04
241.697,-0.04
242.077,-0.03
242.457,-0.01
242.838,-0.01
243.218,-0.02
243.598,-0.03
243.978,-0.04
244.358,-0.04
244.738,-0.04
245.118,-0.04
245.498,-0.05
245.877,-0.05
246.257,-0.06
246.637,-0.07
247.017,-0.08
247.397,-0.07
247.776,-0.07
248.156,-0.07
248.536,-0.08
248.915,-0.1
249.295,-0.09
249.674,-0.09
250.054,-0.09
250.433,-0.09
250.813,-0.08
251.192,-0.08
251.572,-0.07
251.951,-0.07
252.33,-0.06
252.71,-0.05
253.089,-0.04
253.468,-0.03
253.847,-0.05
254.226,-0.05
254.605,-0.04
254.984,-0.03
255.363,-0.03
255.742,-0.03
256.121,-0.03
256.5,-0.03
256.879,-0.02
257.258,-0.02
257.637,-0.03
258.016,-0.03
258.395,-0.03
258.773,-0.04
259.152,-0.04
259.531,-0.03
259.909,-0.04
260.288,-0.03
260.666,-0.03
261.045,-0.04
261.423,-0.05
261.802,-0.04
262.18,-0.03
262.559,-0.03
262.937,-0.03
263.315,-0.04
263.694,-0.03
264.072,-0.03
264.45,-0.03
264.828,-0.04
265.207,-0.02
265.585,-0.03
265.963,-0.03
266.341,-0.03
266.719,-0.03
267.097,-0.03
267.475,-0.02
267.853,-0.01
268.231,-0.01
268.608,-0.02
268.986,-0.02
269.364,-0.03
269.742,-0.03
270.119,-0.03
270.497,-0.03
270.875,-0.03
271.252,-0.03
271.63,-0.04
272.007,-0.03
272.385,-0.04
272.762,-0.03
273.14,-0.03
273.517,-0.02
273.895,-0.03
274.272,-0.04
274.649,-0.03
275.027,-0.03
275.404,-0.03
275.781,-0.02
276.158,-0.02
276.535,-0.02
276.912,-0.01
277.289,-0.02
277.666,-0.02
278.043,-0.01
278.42,-0.02
278.797,-0.02
279.174,-0.02
279.551,-0.02
279.928,-0.02
280.305,-0.02
280.681,-0.02
281.058,-0.02
281.435,-0.03
281.811,-0.03
282.188,-0.03
282.565,-0.04
282.941,-0.04
283.318,-0.04
283.694,-0.03
284.07,-0.03
284.447,-0.04
284.823,-0.03
285.2,-0.03
285.576,-0.03
285.952,-0.04
286.328,-0.04
286.704,-0.03
287.081,-0.04
287.457,-0.04
287.833,-0.04
288.209,-0.04
288.585,-0.04
288.961,-0.03
289.337,-0.04
289.713,-0.03
290.089,-0.03
290.464,-0.03
290.84,-0.02
291.216,-0.02
291.592,-0.02
291.967,-0.01
292.343,-0.02
292.719,-0.02
293.094,-0.02
293.47,-0.02
293.845,-0.01
294.221,-0.02
294.596,-0.02
294.972,-0.01
295.347,-0.02
295.722,-0.01
296.098,-0.01
296.473,0
296.848,-0.01
297.223,-0.02
297.599,-0.03
297.974,-0.03
298.349,-0.03
298.724,-0.03
299.099,-0.03
299.474,-0.03
299.849,-0.03
300.224,-0.03
300.599,-0.02
300.973,-0.02
301.348,-0.02
301.723,-0.02
302.098,-0.02
302.472,-0.03
302.847,-0.04
303.222,-0.04
303.596,-0.03
303.971,-0.02
304.345,-0.02
304.72,-0.02
305.094,-0.02
305.469,-0.02
305.843,-0.02
306.218,-0.02
306.592,-0.02
306.966,-0.02
307.34,-0.01
307.715,-0.02
308.089,-0.01
308.463,-0.01
308.837,-0.01
309.211,-0.01
309.585,-0.01
309.959,-0.01
310.333,-0.02
310.707,-0.02
311.081,-0.02
311.455,-0.02
311.828,-0.02
312.202,-0.02
312.576,-0.02
312.95,-0.02
313.323,-0.02
313.697,-0.02
314.071,-0.01
314.444,-0.02
314.818,-0.02
315.191,-0.02
315.565,-0.02
315.938,-0.02
316.311,-0.02
316.685,-0.02
317.058,-0.02
317.431,-0.02
317.805,-0.02
318.178,-0.02
318.551,-0.02
318.924,-0.02
319.297,-0.01
319.67,-0.01
320.043,-0.01
320.416,-0.02
320.789,-0.01
321.162,-0.01
321.535,-0.01
321.908,-0.01
322.281,-0.01
322.653,-0.01
323.026,-0.01
323.399,-0.01
323.771,-0.02
324.144,-0.01
324.517,-0.01
324.889,-0.01
325.262,-0.01
325.634,-0.01
326.007,-0.01
326.379,-0.01
326.751,-0.01
327.124,-0.02
327.496,-0.02
327.868,-0.02
328.24,-0.02
328.613,-0.02
328.985,-0.01
329.357,-0.01
329.729,-0.01
330.101,-0.01
330.473,-0.01
330.845,-0.03
331.217,-0.03
331.589,-0.02
331.961,-0.03
332.332,-0.02
332.704,-0.03
333.076,-0.03
333.448,-0.03
333.819,-0.03
334.191,-0.03
334.563,-0.03
334.934,-0.03
335.306,-0.03
335.677,-0.03
336.049,-0.04
336.42,-0.04
336.791,-0.04
337.163,-0.03
337.534,-0.03
337.905,-0.03
338.276,-0.03
338.648,-0.03
339.019,-0.03
339.39,-0.03
339.761,-0.03
340.132,-0.03
340.503,-0.03
340.874,-0.03
341.245,-0.03
341.616,-0.03
341.987,-0.03
342.357,-0.03
342.728,-0.02
343.099,-0.02
343.47,-0.02
343.84,-0.03
344.211,-0.03
344.582,-0.03
344.952,-0.03
345.323,-0.04
345.693,-0.03
346.064,-0.03
346.434,-0.03
346.804,-0.02
347.175,-0.03
347.545,-0.04
347.915,-0.04
348.286,-0.03
348.656,-0.03
349.026,-0.03
349.396,-0.03
349.766,-0.03
350.136,-0.02
350.506,-0.02
350.876,-0.01
351.246,-0.01
351.616,-0.01
351.986,-0.01
352.356,-0.02
352.725,-0.02
353.095,-0.01
353.465,-0.01
353.834,0
354.204,0
354.574,0
354.943,0
355.313,-0.01
355.682,-0.01
356.052,-0.01
356.421,-0.01
356.79,-0.01
357.16,-0.02
357.529,-0.02
357.898,-0.02
358.267,-0.02
358.637,-0.02
359.006,-0.02
359.375,-0.02
359.744,-0.02
360.113,-0.02
360.482,-0.03
360.851,-0.03
361.22,-0.03
361.589,-0.03
361.958,-0.03
362.326,-0.03
362.695,-0.04
363.064,-0.03
363.432,-0.04
363.801,-0.03
364.17,-0.03
364.538,-0.03
364.907,-0.03
365.275,-0.03
365.644,-0.03
366.012,-0.03
366.381,-0.03
366.749,-0.02
367.117,-0.02
367.485,-0.01
367.854,-0.02
368.222,-0.01
368.59,-0.01
368.958,-0.01
369.326,-0.02
369.694,-0.01
370.062,-0.01
370.43,-0.01
370.798,-0.02
371.166,-0.02
371.534,-0.02
371.902,-0.02
372.269,-0.02
372.637,-0.02
373.005,-0.02
373.373,-0.02
373.74,-0.02
374.108,-0.01
374.475,-0.01
374.843,-0.01
375.21,-0.01
375.578,-0.01
375.945,-0.01
376.312,-0.02
376.68,-0.02
377.047,-0.01
377.414,-0.01
377.781,-0.02
378.149,-0.02
378.516,-0.02
378.883,-0.02
379.25,-0.02
379.617,-0.03
379.984,-0.03
380.351,-0.03
380.718,-0.03
381.084,-0.03
381.451,-0.03
381.818,-0.03
382.185,-0.03
382.551,-0.03
382.918,-0.03
383.285,-0.03
383.651,-0.03
384.018,-0.02
384.384,-0.02
384.751,-0.02
385.117,-0.02
385.484,-0.03
385.85,-0.02
386.216,-0.02
386.583,-0.01
386.949,-0.01
387.315,-0.01
387.681,-0.01
388.047,-0.01
388.413,-0.01
388.779,-0.01
389.145,0
389.511,-0.01
389.877,-0.01
390.243,-0.01
390.609,-0.02
390.975,-0.01
391.341,-0.02
391.706,-0.02
392.072,-0.02
392.438,-0.02
392.803,-0.02
393.169,-0.02
393.534,-0.03
393.9,-0.03
394.265,-0.03
394.631,-0.03
394.996,-0.02
395.361,-0.02
395.727,-0.02
396.092,-0.02
396.457,-0.02
396.822,-0.02
397.187,-0.02
397.553,-0.02
397.918,-0.02
398.283,-0.02
398.648,-0.02
399.013,-0.02
399.377,-0.02
399.742,-0.02
400.107,-0.02
400.472,-0.03
400.837,-0.02
401.201,-0.03
401.566,-0.03
401.931,-0.03
402.295,-0.03
402.66,-0.03
403.024,-0.03
403.389,-0.03
403.753,-0.03
404.118,-0.03
404.482,-0.02
404.846,-0.02
405.211,-0.02
405.575,-0.02
405.939,-0.02
406.303,-0.02
406.667,-0.02
407.031,-0.02
407.395,-0.02
407.759,-0.02
408.123,-0.02
408.487,-0.02
408.851,-0.02
409.215,-0.02
409.579,-0.02
409.943,-0.02
410.306,-0.03
410.67,-0.03
411.034,-0.02
411.397,-0.02
411.761,-0.03
412.124,-0.03
412.488,-0.03
412.851,-0.03
413.215,-0.02
413.578,-0.03
413.941,-0.02
414.305,-0.02
414.668,-0.02
415.031,-0.02
415.394,-0.02
415.757,-0.02
416.12,-0.02
416.483,-0.01
416.846,-0.01
417.209,-0.01
417.572,-0.02
417.935,-0.02
418.298,-0.02
418.661,-0.02
419.024,-0.02
419.386,-0.02
419.749,-0.02
420.112,-0.02
420.474,-0.02
420.837,-0.02
421.199,-0.02
421.562,-0.02
421.924,-0.02
422.287,-0.02
422.649,-0.02
423.011,-0.02
423.374,-0.02
423.736,-0.02
424.098,-0.03
424.46,-0.03
424.822,-0.03
425.184,-0.02
425.546,-0.02
425.908,-0.02
426.27,-0.02
426.632,-0.02
426.994,-0.03
427.356,-0.03
427.718,-0.02
428.08,-0.02
428.441,-0.02
428.803,-0.01
429.165,-0.01
429.526,-0.01
429.888,-0.01
430.249,-0.01
430.611,0
430.972,-0.01
431.334,-0.01
431.695,-0.01
432.056,-0.01
432.417,-0.01
432.779,-0.01
433.14,0
433.501,0
433.862,-0.01
434.223,-0.01
434.584,-0.02
434.945,-0.02
435.306,-0.03
435.667,-0.03
436.028,-0.02
436.389,-0.02
436.75,-0.03
437.11,-0.02
437.471,-0.02
437.832,-0.02
438.192,-0.02
438.553,-0.02
438.913,-0.02
439.274,-0.02
439.634,-0.02
439.995,-0.03
440.355,-0.03
440.716,-0.03
441.076,-0.03
441.436,-0.03
441.796,-0.03
442.156,-0.03
442.517,-0.03
442.877,-0.03
443.237,-0.03
443.597,-0.03
443.957,-0.03
444.317,-0.03
444.677,-0.03
445.036,-0.03
445.396,-0.03
445.756,-0.03
446.116,-0.02
446.475,-0.02
446.835,-0.02
447.195,-0.02
447.554,-0.01
447.914,-0.01
448.273,-0.01
448.633,-0.01
448.992,-0.01
449.351,0
449.711,0
450.07,-0.01
450.429,-0.01
450.788,-0.01
451.147,-0.01
451.507,0
451.866,-0.01
452.225,-0.01
452.584,-0.01
452.943,-0.01
453.301,-0.01
453.66,-0.01
454.019,-0.02
454.378,-0.02
454.737,-0.02
455.095,-0.02
455.454,-0.02
455.813,-0.02
456.171,-0.02
456.53,-0.02
456.888,-0.02
457.247,-0.03
457.605,-0.03
457.963,-0.02
458.322,-0.02
458.68,-0.02
459.038,-0.02
459.396,-0.02
459.754,-0.02
460.113,-0.02
460.471,-0.02
460.829,-0.02
461.187,-0.03
461.545,-0.02
461.902,-0.02
462.26,-0.01
462.618,-0.02
462.976,-0.02
463.334,-0.01
463.691,-0.01
464.049,-0.02
464.407,-0.02
464.764,-0.02
465.122,-0.02
465.479,-0.02
465.837,-0.02
466.194,-0.02
466.551,-0.02
466.909,-0.02
467.266,-0.01
467.623,-0.01
467.98,-0.02
468.337,-0.01
468.695,-0.01
469.052,-0.01
469.409,-0.02
469.766,-0.01
470.123,-0.01
470.479,-0.01
470.836,0
471.193,-0.01
471.55,0
471.907,-0.01
472.263,-0.01
472.62,-0.01
472.977,-0.01
473.333,-0.01
473.69,0
474.046,0
474.403,-0.01
474.759,-0.01
475.115,0
475.472,0
475.828,0
476.184,0
476.54,0
476.896,0
477.252,0
477.608,0
477.964,0
478.32,0
478.676,0
479.032,0
479.388,0
479.744,-0.01
480.1,0
480.455,0
480.811,0
481.167,-0.01
481.522,-0.01
481.878,-0.01
482.233,-0.02
482.589,-0.02
482.944,-0.02
483.3,-0.02
483.655,-0.02
484.01,-0.03
484.365,-0.03
484.721,-0.02
485.076,-0.03
485.431,-0.03
485.786,-0.03
486.141,-0.03
486.496,-0.03
486.851,-0.03
487.206,-0.03
487.561,-0.03
487.915,-0.03
488.27,-0.03
488.625,-0.02
488.98,-0.03
489.334,-0.03
489.689,-0.02
490.043,-0.02
490.398,-0.02
490.752,-0.02
491.107,-0.01
491.461,-0.02
491.816,-0.02
492.17,-0.02
492.524,-0.02
492.878,-0.02
493.233,-0.02
493.587,-0.02
493.941,-0.02
494.295,-0.02
494.649,-0.02
495.003,-0.01
495.357,-0.01
495.711,-0.01
496.064,-0.02
496.418,-0.01
496.772,-0.01
497.126,-0.01
497.479,-0.01
497.833,-0.01
498.186,-0.01
498.54,-0.01
498.893,-0.01
499.247,0
499.6,0
499.954,-0.01
500.307,-0.01
500.66,-0.01
501.013,-0.01
501.367,-0.01
501.72,-0.01
502.073,-0.01
502.426,-0.01
502.779,-0.01
503.132,-0.01
503.485,-0.01
503.838,-0.01
504.191,-0.02
504.543,-0.02
504.896,-0.02
505.249,-0.02
505.601,-0.02
505.954,-0.02
506.307,-0.02
506.659,-0.02
507.012,-0.02
507.364,-0.02
507.716,-0.02
508.069,-0.02
508.421,-0.02
508.773,-0.02
509.126,-0.02
509.478,-0.01
509.83,-0.02
510.182,-0.01
510.534,-0.01
510.886,-0.01
511.238,-0.01
511.59,-0.01
511.942,-0.01
512.294,-0.01
512.645,-0.01
512.997,-0.01
513.349,-0.01
513.701,-0.02
514.052,-0.02
514.404,-0.02
514.755,-0.02
515.107,-0.02
515.458,-0.02
515.81,-0.02
516.161,-0.02
516.512,-0.02
516.864,-0.02
517.215,-0.02
517.566,-0.02
517.917,-0.02
518.268,-0.02
518.619,-0.01
518.97,-0.01
519.321,-0.02
519.672,-0.01
520.023,-0.01
520.374,-0.02
520.725,-0.02
521.075,-0.01
521.426,-0.01
521.777,-0.02
522.127,-0.02
522.478,-0.02
522.828,-0.02
523.179,-0.02
523.529,-0.02
523.88,-0.02
524.23,-0.02
524.58,-0.03
524.93,-0.03
525.281,-0.02
525.631,-0.02
525.981,-0.02
526.331,-0.02
526.681,-0.02
527.031,-0.02
527.381,-0.02
527.731,-0.02
528.081,-0.02
528.43,-0.02
528.78,-0.02
529.13,-0.02
529.48,-0.01
529.829,-0.02
530.179,-0.01
530.528,-0.01
530.878,-0.01
531.227,-0.01
531.577,-0.01
531.926,-0.02
532.275,-0.01
532.625,-0.01
532.974,-0.01
533.323,-0.01
533.672,-0.01
534.021,-0.01
534.37,-0.01
534.719,-0.01
535.068,-0.02
535.417,-0.02
535.766,-0.02
536.115,-0.02
536.464,-0.02
536.812,-0.02
537.161,-0.02
537.51,-0.02
537.858,-0.02
538.207,-0.02
538.555,-0.02
538.904,-0.02
539.252,-0.02
539.601,-0.03
539.949,-0.03
540.297,-0.02
540.646,-0.03
540.994,-0.02
541.342,-0.02
541.69,-0.02
542.038,-0.02
542.386,-0.02
542.734,-0.02
543.082,-0.02
543.43,-0.02
543.778,-0.03
544.126,-0.03
544.473,-0.03
544.821,-0.03
545.169,-0.03
545.516,-0.03
545.864,-0.02
546.211,-0.02
546.559,-0.02
546.906,-0.02
547.254,-0.03
547.601,-0.03
547.948,-0.03
548.296,-0.02
548.643,-0.02
548.99,-0.02
549.337,-0.03
549.684,-0.02
550.031,-0.02
550.378,-0.02
550.725,-0.02
551.072,-0.02
551.419,-0.02
551.766,-0.02
552.112,-0.02
552.459,-0.02
552.806,-0.02
553.152,-0.02
553.499,-0.02
553.845,-0.02
554.192,-0.02
