wl,white_fabric
178.95,0
179.33,384.615
179.71,550
180.09,646.667
180.46,236.111
180.84,234.483
181.22,282.609
181.6,93.333
181.97,206.544
182.35,206.918
182.73,197.452
183.1,189.06
183.48,182.459
183.86,187.961
184.24,181.102
184.61,174.926
184.99,193.645
185.37,256.563
185.74,409.388
186.12,1416.418
186.5,-544.828
186.88,-216.054
187.25,-112.058
187.63,-61.818
188.01,-48.219
188.38,-22.126
188.76,-7.779
189.14,-1.91
189.51,6.405
189.89,12.807
190.27,17.029
190.64,21.804
191.02,26.273
191.4,30.251
191.77,30.532
192.15,32.305
192.53,33.883
192.9,33.17
193.28,31.444
193.66,33.53
194.03,33.185
194.41,32.274
194.79,32.871
195.16,33.022
195.54,33.48
195.91,32.883
196.29,34.476
196.67,35.126
197.04,35.854
197.42,36.094
197.8,36.453
198.17,38.147
198.55,37.039
198.92,35.34
199.3,36.334
199.68,37.374
200.05,34.932
200.43,37.216
200.8,38.014
201.18,37.07
201.56,37.634
201.93,39.123
202.31,41.437
202.68,40.5
203.06,40.446
203.44,38.491
203.81,38.563
204.19,36.858
204.56,36.745
204.94,39.505
205.31,40.625
205.69,40.113
206.06,39.861
206.44,40.988
206.82,37.962
207.19,38.449
207.57,41.162
207.94,41.352
208.32,39.354
208.69,40.67
209.07,41.208
209.44,41.275
209.82,42.053
210.19,41.867
210.57,43.175
210.95,42.493
211.32,40.853
211.7,40.357
212.07,39.951
212.45,40.645
212.82,38.982
213.2,39.879
213.57,40.04
213.95,37.247
214.32,36.306
214.7,36.512
215.07,35.815
215.45,36.848
215.82,37.541
216.2,36.282
216.57,36.585
216.95,37.453
217.32,40.222
217.69,39.616
218.07,40.939
218.44,43.305
218.82,43.803
219.19,45.761
219.57,46.689
219.94,47.302
220.32,47.782
220.69,45.776
221.07,46.725
221.44,44.757
221.82,44.509
222.19,43.036
222.56,45.096
222.94,47.059
223.31,45.817
223.69,43.703
224.06,44.27
224.44,42.656
224.81,40.641
225.18,39.5
225.56,39.826
225.93,41.692
226.31,43.809
226.68,44.764
227.05,48.79
227.43,48.477
227.8,48.628
228.18,49.671
228.55,50.817
228.92,50.672
229.3,49.486
229.67,49.386
230.05,50.707
230.42,49.949
230.79,51.062
231.17,51.426
231.54,52.452
231.91,51.785
232.29,50.052
232.66,47.567
233.04,46.332
233.41,45.223
233.78,44.627
234.16,46.104
234.53,45.139
234.9,43.508
235.28,43.147
235.65,41.707
236.02,41.549
236.4,39.98
236.77,41.659
237.14,42.33
237.52,42.502
237.89,43.484
238.26,43.928
238.64,44.39
239.01,43.911
239.38,44.577
239.76,44.17
240.13,45.848
240.5,45.036
240.88,44.264
241.25,45.642
241.62,45.428
241.99,45.88
242.37,45.144
242.74,45.902
243.11,45.934
243.49,44.25
243.86,44.804
244.23,43.655
244.6,42.196
244.98,40.363
245.35,40.69
245.72,40.775
246.09,39.734
246.47,38.634
246.84,37.965
247.21,38.518
247.58,37.395
247.96,37.867
248.33,38.484
248.7,39.051
249.07,39.047
249.45,38.261
249.82,38.973
250.19,37.81
250.56,36.803
250.94,37.065
251.31,36.833
251.68,36.01
252.05,35.513
252.43,36.882
252.8,35.429
253.17,35.477
253.54,35.504
253.91,35.453
254.29,35.013
254.66,34.583
255.03,34.517
255.4,33.406
255.77,32.902
256.14,32.142
256.52,32.18
256.89,32.58
257.26,32.095
257.63,31.908
258,31.514
258.38,31.33
258.75,30.494
259.12,30.855
259.49,30.603
259.86,30.116
260.23,30.486
260.6,30.054
260.98,28.981
261.35,28.892
261.72,28.737
262.09,28.867
262.46,28.718
262.83,29.234
263.2,29.305
263.58,29.329
263.95,29.691
264.32,29.587
264.69,29.385
265.06,29.099
265.43,29.191
265.8,29.268
266.17,29.071
266.55,28.682
266.92,28.629
267.29,29.036
267.66,28.52
268.03,28.322
268.4,27.995
268.77,28.213
269.14,27.569
269.51,27.011
269.88,26.99
270.25,26.404
270.62,26.524
271,26.184
271.37,26.108
271.74,25.973
272.11,25.492
272.48,25.271
272.85,24.947
273.22,24.631
273.59,24.333
273.96,24.478
274.33,24.875
274.7,24.936
275.07,24.549
275.44,24.496
275.81,24.581
276.18,24.3
276.55,24.383
276.92,24.422
277.29,24.226
277.66,24.125
278.03,23.903
278.4,24.218
278.77,24.291
279.14,24.357
279.51,24.268
279.88,24.283
280.25,24.005
280.62,23.607
280.99,23.324
281.36,23.38
281.73,23.256
282.1,23.041
282.47,23.164
282.84,23.045
283.21,22.689
283.58,22.596
283.95,22.416
284.32,22.18
284.69,21.756
285.06,21.502
285.43,21.409
285.8,21.55
286.17,21.545
286.54,21.543
286.91,21.508
287.28,21.569
287.65,21.532
288.02,21.383
288.38,21.128
288.75,20.936
289.12,21.065
289.49,20.915
289.86,20.673
290.23,20.703
290.6,20.659
290.97,20.703
291.34,20.523
291.71,20.399
292.08,20.214
292.45,20.198
292.81,20.07
293.18,20.061
293.55,19.969
293.92,19.91
294.29,19.905
294.66,20.037
295.03,19.876
295.4,19.615
295.76,19.76
296.13,19.79
296.5,19.794
296.87,19.866
297.24,19.812
297.61,19.98
297.98,19.901
298.34,19.782
298.71,19.534
299.08,19.483
299.45,19.317
299.82,19.306
300.19,19.071
300.55,18.984
300.92,18.897
301.29,18.938
301.66,18.965
302.03,18.838
302.4,18.916
302.76,18.818
303.13,18.768
303.5,18.783
303.87,18.714
304.24,18.683
304.6,18.717
304.97,18.819
305.34,18.788
305.71,18.76
306.08,18.662
306.44,18.734
306.81,18.81
307.18,18.886
307.55,18.978
307.91,19.219
308.28,19.468
308.65,19.629
309.02,19.875
309.39,20.171
309.75,20.528
310.12,20.865
310.49,21.357
310.86,21.802
311.22,22.306
311.59,22.887
311.96,23.553
312.32,24.177
312.69,24.912
313.06,25.594
313.43,26.253
313.79,26.953
314.16,27.567
314.53,28.275
314.89,28.972
315.26,29.648
315.63,30.327
316,30.885
316.36,31.481
316.73,32.113
317.1,32.733
317.46,33.2
317.83,33.784
318.2,34.255
318.56,34.743
318.93,35.151
319.3,35.572
319.66,36.032
320.03,36.444
320.4,36.839
320.76,37.131
321.13,37.413
321.5,37.698
321.86,37.965
322.23,38.283
322.6,38.538
322.96,38.694
323.33,38.841
323.7,39.084
324.06,39.214
324.43,39.357
324.8,39.5
325.16,39.625
325.53,39.704
325.89,39.771
326.26,39.914
326.63,40.02
326.99,40.127
327.36,40.245
327.72,40.355
328.09,40.371
328.46,40.406
328.82,40.509
329.19,40.605
329.55,40.741
329.92,40.777
330.29,40.827
330.65,40.891
331.02,40.972
331.38,41.06
331.75,41.194
332.11,41.293
332.48,41.333
332.85,41.392
333.21,41.438
333.58,41.518
333.94,41.594
334.31,41.69
334.67,41.833
335.04,41.871
335.4,41.939
335.77,41.969
336.13,42.077
336.5,42.176
336.86,42.318
337.23,42.422
337.6,42.515
337.96,42.591
338.33,42.685
338.69,42.787
339.06,42.926
339.42,43.079
339.79,43.175
340.15,43.264
340.52,43.37
340.88,43.481
341.25,43.654
341.61,43.792
341.97,43.938
342.34,44.054
342.7,44.187
343.07,44.313
343.43,44.45
343.8,44.573
344.16,44.734
344.53,44.906
344.89,45.094
345.26,45.246
345.62,45.421
345.99,45.626
346.35,45.818
346.71,46.048
347.08,46.23
347.44,46.439
347.81,46.651
348.17,46.878
348.54,47.116
348.9,47.357
349.26,47.586
349.63,47.843
349.99,48.13
350.36,48.399
350.72,48.671
351.08,48.944
351.45,49.21
351.81,49.453
352.18,49.772
352.54,50.069
352.9,50.342
353.27,50.635
353.63,50.96
353.99,51.273
354.36,51.595
354.72,51.943
355.09,52.278
355.45,52.649
355.81,53.015
356.18,53.396
356.54,53.741
356.9,54.122
357.27,54.488
357.63,54.875
357.99,55.308
358.36,55.708
358.72,56.129
359.08,56.567
359.45,57.033
359.81,57.478
360.17,57.961
360.54,58.449
360.9,58.947
361.26,59.46
361.63,59.944
361.99,60.395
362.35,60.886
362.71,61.413
363.08,61.894
363.44,62.391
363.8,62.904
364.17,63.405
364.53,63.908
364.89,64.443
365.25,64.963
365.62,65.441
365.98,65.926
366.34,66.406
366.7,66.879
367.07,67.335
367.43,67.773
367.79,68.22
368.15,68.693
368.52,69.113
368.88,69.513
369.24,69.926
369.6,70.316
369.97,70.677
370.33,71.063
370.69,71.406
371.05,71.741
371.42,72.083
371.78,72.429
372.14,72.724
372.5,73.033
372.86,73.323
373.23,73.612
373.59,73.874
373.95,74.137
374.31,74.374
374.67,74.624
375.04,74.833
375.4,75.067
375.76,75.292
376.12,75.534
376.48,75.718
376.84,75.903
377.21,76.092
377.57,76.244
377.93,76.402
378.29,76.575
378.65,76.732
379.01,76.889
379.37,77.009
379.74,77.141
380.1,77.259
380.46,77.37
380.82,77.474
381.18,77.635
381.54,77.751
381.9,77.867
382.27,77.968
382.63,78.043
382.99,78.185
383.35,78.289
383.71,78.388
384.07,78.488
384.43,78.554
384.79,78.624
385.15,78.7
385.51,78.78
385.88,78.859
386.24,78.924
386.6,79.013
386.96,79.079
387.32,79.114
387.68,79.167
388.04,79.233
388.4,79.286
388.76,79.348
389.12,79.381
389.48,79.417
389.84,79.48
390.2,79.509
390.56,79.572
390.92,79.62
391.28,79.665
391.64,79.719
392,79.767
392.36,79.812
392.72,79.861
393.08,79.921
393.44,79.96
393.8,79.997
394.16,80.041
394.53,80.088
394.89,80.136
395.24,80.166
395.6,80.211
395.96,80.225
396.32,80.279
396.68,80.331
397.04,80.363
397.4,80.4
397.76,80.424
398.12,80.455
398.48,80.485
398.84,80.492
399.2,80.52
399.56,80.555
399.92,80.611
400.28,80.628
400.64,80.632
401,80.664
401.36,80.705
401.72,80.73
402.08,80.759
402.44,80.794
402.8,80.816
403.16,80.821
403.51,80.848
403.87,80.87
404.23,80.902
404.59,80.936
404.95,80.974
405.31,80.974
405.67,80.994
406.03,80.981
406.39,81.008
406.75,81.029
407.1,81.036
407.46,81.035
407.82,81.058
408.18,81.081
408.54,81.061
408.9,81.05
409.26,81.075
409.62,81.083
409.97,81.093
410.33,81.094
410.69,81.096
411.05,81.102
411.41,81.129
411.77,81.139
412.12,81.148
412.48,81.132
412.84,81.147
413.2,81.164
413.56,81.159
413.92,81.14
414.27,81.148
414.63,81.163
414.99,81.171
415.35,81.177
415.71,81.183
416.06,81.193
416.42,81.185
416.78,81.206
417.14,81.201
417.5,81.201
417.85,81.209
418.21,81.223
418.57,81.237
418.93,81.252
419.28,81.24
419.64,81.259
420,81.282
420.36,81.291
420.71,81.289
421.07,81.284
421.43,81.3
421.79,81.292
422.14,81.286
422.5,81.292
422.86,81.271
423.22,81.285
423.57,81.293
423.93,81.269
424.29,81.26
424.65,81.274
425,81.261
425.36,81.268
425.72,81.254
426.07,81.25
426.43,81.24
426.79,81.254
427.14,81.268
427.5,81.248
427.86,81.239
428.22,81.257
428.57,81.264
428.93,81.278
429.29,81.287
429.64,81.292
430,81.301
430.36,81.302
430.71,81.299
431.07,81.299
431.42,81.303
431.78,81.295
432.14,81.283
432.49,81.278
432.85,81.262
433.21,81.242
433.56,81.23
433.92,81.221
434.28,81.195
434.63,81.194
434.99,81.178
435.34,81.152
435.7,81.133
436.06,81.141
436.41,81.133
436.77,81.11
437.12,81.101
437.48,81.085
437.84,81.082
438.19,81.086
438.55,81.065
438.9,81.074
439.26,81.082
439.61,81.072
439.97,81.082
440.33,81.073
440.68,81.064
441.04,81.067
441.39,81.064
441.75,81.065
442.1,81.048
442.46,81.054
442.81,81.063
443.17,81.064
443.52,81.073
443.88,81.074
444.23,81.068
444.59,81.085
444.94,81.06
445.3,81.061
445.65,81.07
446.01,81.061
446.36,81.07
446.72,81.072
447.07,81.063
447.43,81.076
447.78,81.068
448.14,81.076
448.49,81.058
448.85,81.054
449.2,81.045
449.56,81.03
449.91,81.035
450.27,81.026
450.62,81.016
450.98,81.023
451.33,81.018
451.69,81.014
452.04,81.007
452.39,80.984
452.75,80.964
453.1,80.958
453.46,80.935
453.81,80.922
454.17,80.901
454.52,80.91
454.87,80.897
455.23,80.885
455.58,80.89
455.94,80.883
456.29,80.87
456.64,80.86
457,80.838
457.35,80.824
457.71,80.822
458.06,80.824
458.41,80.83
458.77,80.841
459.12,80.842
459.47,80.843
459.83,80.837
460.18,80.842
460.53,80.846
460.89,80.837
461.24,80.832
461.6,80.82
461.95,80.812
462.3,80.809
462.66,80.808
463.01,80.818
463.36,80.838
463.72,80.849
464.07,80.875
464.42,80.905
464.77,80.927
465.13,80.94
465.48,80.959
465.83,80.962
466.19,80.957
466.54,80.935
466.89,80.942
467.25,80.943
467.6,80.938
467.95,80.92
468.3,80.918
468.66,80.912
469.01,80.903
469.36,80.877
469.71,80.865
470.07,80.844
470.42,80.819
470.77,80.787
471.12,80.747
471.48,80.709
471.83,80.693
472.18,80.675
472.53,80.671
472.89,80.655
473.24,80.642
473.59,80.64
473.94,80.641
474.29,80.639
474.65,80.643
475,80.625
475.35,80.61
475.7,80.577
476.06,80.558
476.41,80.546
476.76,80.527
477.11,80.561
477.46,80.572
477.81,80.587
478.17,80.604
478.52,80.629
478.87,80.635
479.22,80.654
479.57,80.664
479.92,80.671
480.28,80.659
480.63,80.643
480.98,80.643
481.33,80.65
481.68,80.648
482.03,80.637
482.38,80.629
482.73,80.618
483.09,80.581
483.44,80.554
483.79,80.534
484.14,80.506
484.49,80.463
484.84,80.437
485.19,80.393
485.54,80.364
485.89,80.357
486.25,80.343
486.6,80.336
486.95,80.342
487.3,80.337
487.65,80.344
488,80.355
488.35,80.352
488.7,80.381
489.05,80.391
489.4,80.408
489.75,80.412
490.1,80.417
490.45,80.439
490.8,80.438
491.15,80.454
491.5,80.45
491.85,80.439
492.2,80.439
492.55,80.422
492.9,80.403
493.25,80.391
493.6,80.383
493.95,80.356
494.3,80.339
494.65,80.301
495,80.287
495.35,80.27
495.7,80.245
496.05,80.223
496.4,80.2
496.75,80.199
497.1,80.186
497.45,80.166
497.8,80.156
498.15,80.151
498.5,80.166
498.85,80.161
499.2,80.146
499.55,80.128
499.9,80.124
500.25,80.121
500.6,80.104
500.95,80.093
501.3,80.069
501.65,80.074
502,80.086
502.34,80.069
502.69,80.056
503.04,80.055
503.39,80.055
503.74,80.048
504.09,80.026
504.44,80.008
504.79,80.008
505.14,80.013
505.49,80.005
505.83,80.001
506.18,79.991
506.53,79.988
506.88,79.972
507.23,79.969
507.58,79.945
507.93,79.924
508.27,79.921
508.62,79.908
508.97,79.884
509.32,79.873
509.67,79.864
510.02,79.873
510.36,79.868
510.71,79.847
511.06,79.832
511.41,79.836
511.76,79.833
512.11,79.829
512.45,79.823
512.8,79.813
513.15,79.819
513.5,79.81
513.85,79.807
514.19,79.791
514.54,79.802
514.89,79.82
515.24,79.833
515.58,79.829
515.93,79.831
516.28,79.825
516.63,79.832
516.97,79.823
517.32,79.827
517.67,79.822
518.02,79.816
518.36,79.831
518.71,79.837
519.06,79.835
519.41,79.855
519.75,79.863
520.1,79.87
520.45,79.862
520.79,79.85
521.14,79.836
521.49,79.827
521.84,79.819
522.18,79.823
522.53,79.817
522.88,79.825
523.22,79.805
523.57,79.787
523.92,79.792
524.26,79.788
524.61,79.778
524.96,79.772
525.3,79.765
525.65,79.756
526,79.742
526.34,79.735
526.69,79.724
527.04,79.717
527.38,79.734
527.73,79.723
528.08,79.707
528.42,79.707
528.77,79.686
529.11,79.676
529.46,79.69
529.81,79.67
530.15,79.66
530.5,79.649
530.84,79.65
531.19,79.64
531.54,79.626
531.88,79.631
532.23,79.632
532.57,79.64
532.92,79.635
533.27,79.603
533.61,79.586
533.96,79.585
534.3,79.569
534.65,79.565
534.99,79.57
535.34,79.553
535.68,79.56
536.03,79.544
536.38,79.554
536.72,79.535
537.07,79.528
537.41,79.525
537.76,79.506
538.1,79.481
538.45,79.46
538.79,79.447
539.14,79.457
539.48,79.455
539.83,79.45
540.17,79.448
540.52,79.46
540.86,79.467
541.21,79.462
541.55,79.45
541.9,79.448
542.24,79.435
542.59,79.439
542.93,79.426
543.27,79.416
543.62,79.423
543.96,79.425
544.31,79.421
544.65,79.426
545,79.413
545.34,79.424
545.69,79.416
546.03,79.414
546.37,79.392
546.72,79.386
547.06,79.387
547.41,79.376
547.75,79.367
548.09,79.36
548.44,79.358
548.78,79.36
549.13,79.356
