int_setting,color,rel_intensity
0.00,430,1
0.20,430,1.04670715
0.40,430,1.0934143
0.70,430,1.163475025
1.00,430,1.23353575
1.50,430,1.350303624
2.00,430,1.467071499
3.00,430,1.700607249
0.00,470,1
0.20,470,1.05283077
0.40,470,1.10566154
0.70,470,1.184907695
1.00,470,1.26415385
1.50,470,1.396230775
2.00,470,1.5283077
3.00,470,1.792461551
0.00,525,1
0.20,525,1.043819007
0.40,525,1.087638014
0.70,525,1.153366524
1.00,525,1.219095034
1.50,525,1.328642551
2.00,525,1.438190068
3.00,525,1.657285102
0.00,545,1
0.20,545,1.041711893
0.40,545,1.083423787
0.70,545,1.145991627
1.00,545,1.208559467
1.50,545,1.3128392
2.00,545,1.417118933
3.00,545,1.6256784
0.00,625,1
0.20,625,1.089309481
0.40,625,1.178618962
0.70,625,1.312583183
1.00,625,1.446547404
1.50,625,1.669821106
2.00,625,1.893094808
3.00,625,2.339642213
0.00,gray,1
0.20,gray,1.49628
0.40,gray,1.99256
0.60,gray,2.48884
0.80,gray,2.98512
1.00,gray,3.4814
1.20,gray,3.97768
1.50,gray,4.7221